offset,error
20,0.00031152409158761117
21,0.00030969472217403423
22,0.00030797846895469039
23,0.00030637725015223761
24,0.00030489289546396992
25,0.00030352713674011169
26,0.00030228159883930665
27,0.00030115779076316922
28,0.00030015709717364159
29,0.00029928077039757144
30,0.00029852992302078357
31,0.00029790552117003752
32,0.0002974083785749607
33,0.00029703915149347025
34,0.00029679833457374168
35,0.00029668625771332312
36,0.00029670308396206624
37,0.00029684880850019811
38,0.00029712325870692198
39,0.00029752609531843017
40,0.00029805681465760249
41,0.00029871475190197899
42,0.00029949908534123701
43,0.00030040884156182842
44,0.00030144290148412614
45,0.00030260000716733897
46,0.00030387876928909314
47,0.0003052776752007013
48,0.00030679509745549089
49,0.0003084293027058177
50,0.00031017846086520541
51,0.00031204065443436778
52,0.00031401388789427875
53,0.00031609609707494935
54,0.00031828515841572305
55,0.00032057889804060457
56,0.00032297510058068558
57,0.00032547151768464757
58,0.00032806587616741179
59,0.00033075588575594625
