offset,error
-20,0.0010585773026196136
-19,0.001006885590267468
-18,0.00095530443223297633
-17,0.00090385347120561818
-16,0.0008525570096651942
-15,0.00080144546306378385
-14,0.00075055738008667362
-13,0.00069994229886020845
-12,0.00064966485887512227
-11,0.00059981083691471634
-10,0.0005504961916645108
-9,0.00050188090880791164
-8,0.00045419064551105914
-7,0.00040775120638205276
-6,0.00036304411482194858
-5,0.00032079578135691815
-4,0.00028211446639114454
-3,0.00024867193753860394
-2,0.00022284114374421289
-1,0.00020748647344961881
0,0.00020497762962989712
1,0.00021576478058538953
2,0.00023804860754360696
3,0.000268988051261195
4,0.00030596954541276114
5,0.00034706788766015469
6,0.0003909877578067745
7,0.00043687968158776132
8,0.00048418380665084091
9,0.00053252443039313393
10,0.00058164362451029023
11,0.00063136009746354242
12,0.00068154351094053029
13,0.0007320981720428004
14,0.00078295246407550259
15,0.00083405184854642555
16,0.00088535413366936408
17,0.00093682621100740825
18,0.0009884417624086391
19,0.0010401796206527978
